"year","month","week","accidents","fatalities","total_gdp","gdp_per_capita","unemployment","population","vehicles","inflation_rate","quarter","season","is_summer","is_winter","is_holiday","AccidentGrowthRate","FatalityGrowthRate","FatalityRate","AccidentChangeRate","FatalityChangeRate","AccidentsPerCapita","FatalitiesPerCapita","AccidentsPerVehicle","economic_crisis","covid","new_highways","speed_limits","seat_belt","helmet","alcohol","phone","licensing","airbags","abs","kid_seat","fines","pedestrians","kteo","point_system"
1996,"12",1,377,36,100.664,9.489,426.8,10608821,3797234,8.2,4,"Winter",0,1,0,-0.162222222222222,-0.121951219512195,0.0954907161803713,-0.162222222222222,-0.121951219512195,3.55364653621736e-05,3.39340252795292e-06,9.92827937388109e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"12",2,398,36,100.664,9.489,426.8,10608821,3797234,8.2,4,"Winter",0,1,0,0.0557029177718833,0,0.0904522613065327,0.0557029177718833,0,3.75159501701461e-05,3.39340252795292e-06,0.000104813135034607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"12",3,441,36,100.664,9.489,426.8,10608821,3797234,8.2,4,"Winter",0,1,0,0.108040201005025,0,0.0816326530612245,0.108040201005025,0,4.15691809674232e-05,3.39340252795292e-06,0.000116137167211713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"12",4,418,58,100.664,9.489,426.8,10608821,3797234,8.2,4,"Winter",0,1,0,-0.0521541950113379,0.611111111111111,0.138755980861244,-0.0521541950113379,0.611111111111111,3.94011737967867e-05,5.46714851725748e-06,0.000110080126744889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"12",5,147,12,100.664,9.489,426.8,10608821,3797234,8.2,4,"Winter",0,1,0,-0.648325358851675,-0.793103448275862,0.0816326530612245,-0.648325358851675,-0.793103448275862,1.38563936558077e-05,1.13113417598431e-06,3.87123890705708e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"1",1,176,19,111.193,10.43,426.3,10661312,4048471,5.5,1,"Winter",0,1,1,0.197278911564626,0.583333333333333,0.107954545454545,0.197278911564626,0.583333333333333,1.65082871601544e-05,1.78214463660758e-06,4.34732025992035e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"1",2,347,31,111.193,10.43,426.3,10661312,4048471,5.5,1,"Winter",0,1,0,0.971590909090909,0.631578947368421,0.0893371757925072,0.971590909090909,0.631578947368421,3.25475888896226e-05,2.90770967025447e-06,8.57113710336569e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"1",3,352,27,111.193,10.43,426.3,10661312,4048471,5.5,1,"Winter",0,1,0,0.0144092219020173,-0.129032258064516,0.0767045454545455,0.0144092219020173,-0.129032258064516,3.30165743203088e-05,2.5325213257055e-06,8.6946405198407e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"1",4,413,36,111.193,10.43,426.3,10661312,4048471,5.5,1,"Winter",0,1,0,0.173295454545455,0.333333333333333,0.0871670702179177,0.173295454545455,0.333333333333333,3.87381965746805e-05,3.37669510094067e-06,0.000102013822008358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"1",5,337,24,111.193,10.43,426.3,10661312,4048471,5.5,1,"Winter",0,1,0,-0.184019370460048,-0.333333333333333,0.0712166172106825,-0.184019370460048,-0.333333333333333,3.16096180282502e-05,2.25113006729378e-06,8.32413027041567e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"2",1,67,6,111.193,10.43,426.3,10661312,4048471,5.5,1,"Winter",0,1,0,-0.801186943620178,-0.75,0.0895522388059701,-0.801186943620178,-0.75,6.28440477119514e-06,5.62782516823445e-07,1.65494578076513e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"2",2,387,20,111.193,10.43,426.3,10661312,4048471,5.5,1,"Winter",0,1,0,4.77611940298507,2.33333333333333,0.0516795865633075,4.77611940298507,2.33333333333333,3.62994723351122e-05,1.87594172274482e-06,9.55916443516577e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"2",3,408,36,111.193,10.43,426.3,10661312,4048471,5.5,1,"Winter",0,1,0,0.0542635658914729,0.8,0.0882352941176471,0.0542635658914729,0.8,3.82692111439943e-05,3.37669510094067e-06,0.000100778787843608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"2",4,405,39,111.193,10.43,426.3,10661312,4048471,5.5,1,"Winter",0,1,0,-0.00735294117647059,0.0833333333333333,0.0962962962962963,-0.00735294117647059,0.0833333333333333,3.79878198855826e-05,3.65808635935239e-06,0.000100037767344758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"2",5,338,22,111.193,10.43,426.3,10661312,4048471,5.5,1,"Winter",0,1,0,-0.165432098765432,-0.435897435897436,0.0650887573964497,-0.165432098765432,-0.435897435897436,3.17034151143874e-05,2.0635358950193e-06,8.34883095371067e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"3",1,45,2,111.193,10.43,426.3,10661312,4048471,5.5,1,"Spring",0,0,0,-0.866863905325444,-0.909090909090909,0.0444444444444444,-0.866863905325444,-0.909090909090909,4.22086887617584e-06,1.87594172274482e-07,1.11153074827509e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,"3",2,437,40,111.193,10.43,426.3,10661312,4048471,5.5,1,"Spring",0,0,0,8.71111111111111,19,0.091533180778032,8.71111111111111,19,4.09893266419743e-05,3.75188344548964e-06,0.000107941985999159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
